Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
11/02/2023,2022,Crystal Palace,Brighton,3.8,3.5,2.0,1.0,1.0,D,0,1,1,5,0,1,36,27,2,0,9,4,2,0,36,27
11/02/2023,2022,Arsenal,Brentford,1.44,4.75,7.0,1.0,1.0,D,2,0,6,3,1,0,89,11,2,0,4,1,1,0,89,11
11/02/2023,2022,West Ham,Chelsea,3.3,3.3,2.25,1.0,1.0,D,1,2,2,4,1,2,40,10,0,1,2,3,0,0,40,10
08/02/2023,2022,Man United,Leeds,1.45,5.0,6.0,2.0,2.0,D,3,0,7,2,1,0,80,10,0,2,1,3,0,0,80,10
05/02/2023,2022,Tottenham,Man City,4.33,4.2,1.73,1.0,0.0,H,1,2,4,7,0,2,60,0,2,1,5,3,1,0,60,0
05/02/2023,2022,Nott'm Forest,Leeds,2.63,3.3,2.7,1.0,0.0,H,2,0,4,1,1,0,40,30,0,2,4,6,0,0,40,30
04/02/2023,2022,Newcastle,West Ham,1.6,3.8,6.0,1.0,1.0,D,2,0,2,0,0,0,60,40,0,2,3,6,0,1,60,40
04/02/2023,2022,Wolves,Liverpool,4.0,3.8,1.85,3.0,0.0,H,1,2,1,3,0,1,30,20,1,2,4,7,1,2,30,20
04/02/2023,2022,Man United,Crystal Palace,1.4,4.75,8.0,2.0,1.0,H,3,0,8,1,2,0,78,11,1,2,2,2,1,0,78,11
04/02/2023,2022,Brighton,Bournemouth,1.33,5.25,8.5,1.0,0.0,H,1,2,6,6,1,1,44,22,0,3,0,7,0,3,44,22
04/02/2023,2022,Brentford,Southampton,1.85,3.6,4.2,3.0,0.0,H,2,0,7,3,2,0,50,40,1,2,4,6,0,1,50,40
04/02/2023,2022,Aston Villa,Leicester,1.95,3.6,3.8,2.0,4.0,A,1,1,4,5,0,1,50,20,1,2,3,4,1,1,50,20
04/02/2023,2022,Everton,Arsenal,8.5,4.5,1.4,1.0,0.0,H,0,3,3,8,0,1,20,20,3,0,8,2,3,0,20,20
03/02/2023,2022,Chelsea,Fulham,1.62,4.0,5.25,0.0,0.0,D,2,1,3,1,1,0,56,22,2,1,4,1,1,0,56,22
23/01/2023,2022,Fulham,Tottenham,3.3,3.6,2.1,0.0,1.0,A,2,1,5,4,0,0,50,30,1,1,8,6,1,1,50,30
22/01/2023,2022,Arsenal,Man United,1.8,3.8,4.2,3.0,2.0,H,2,0,8,1,2,0,88,12,2,0,4,2,0,0,88,12
22/01/2023,2022,Man City,Wolves,1.2,8.0,11.0,3.0,0.0,H,1,1,6,5,1,0,80,10,1,0,4,3,0,0,80,10
22/01/2023,2022,Leeds,Brentford,2.38,3.6,2.88,0.0,0.0,D,1,1,7,8,0,1,33,33,2,0,6,3,1,0,33,33
