Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
09/10/2022,2022,Fluminense,America MG,1.63,3.89,5.44,0.0,2.0,A,2,0,7,2,1,0,67,13,1,1,3,3,0,0,67,13
09/10/2022,2022,Coritiba,Bragantino,2.51,3.1,2.96,2.0,1.0,H,3,0,4,0,1,0,60,13,0,1,2,5,0,1,60,13
09/10/2022,2022,Atletico-MG,Ceara,1.44,4.22,8.07,0.0,0.0,D,1,1,3,2,1,0,40,27,0,1,2,3,0,0,40,27
09/10/2022,2022,Sao Paulo,Botafogo RJ,1.69,3.69,5.12,0.0,1.0,A,1,1,5,2,1,0,43,36,3,0,6,2,1,0,43,36
09/10/2022,2022,Fortaleza,Avai,1.47,4.06,7.63,2.0,0.0,H,2,1,5,5,0,1,29,43,0,2,1,6,0,1,29,43
09/10/2022,2022,Internacional,Goias,1.38,4.67,8.24,4.0,2.0,H,2,0,2,0,0,0,60,33,1,0,4,3,0,0,60,33
09/10/2022,2022,Corinthians,Athletico-PR,2.16,3.08,3.73,2.0,1.0,H,2,0,6,3,1,0,67,27,0,1,1,3,0,1,67,27
08/10/2022,2022,Cuiaba,Flamengo RJ,3.56,3.15,2.18,1.0,2.0,A,1,0,3,2,0,0,29,50,1,1,4,4,0,0,29,50
07/10/2022,2022,Avai,Botafogo RJ,2.58,3.01,2.94,1.0,2.0,A,1,1,3,3,0,0,40,27,2,0,6,3,1,0,40,27
07/10/2022,2022,America MG,Sao Paulo,2.67,3.13,2.74,1.0,2.0,A,2,0,4,1,1,0,57,21,1,1,3,2,1,0,57,21
06/10/2022,2022,Palmeiras,Coritiba,1.23,6.25,12.04,4.0,0.0,H,2,0,4,2,0,0,64,21,0,3,2,9,0,3,64,21
06/10/2022,2022,Santos,Atletico-MG,3.21,3.04,2.41,1.0,2.0,A,2,1,4,2,1,0,50,29,1,1,3,2,1,0,50,29
06/10/2022,2022,Flamengo RJ,Internacional,1.39,4.73,7.94,0.0,0.0,D,1,1,6,4,1,0,64,14,2,0,5,3,0,0,64,14
05/10/2022,2022,Athletico-PR,Fortaleza,2.03,3.23,3.94,1.0,1.0,D,2,0,5,2,1,0,57,36,1,1,3,3,0,0,57,36
05/10/2022,2022,Ceara,Goias,1.67,3.62,5.45,1.0,1.0,D,1,2,3,5,0,1,20,40,2,0,4,2,0,0,20,40
05/10/2022,2022,Bragantino,Cuiaba,1.95,3.17,4.36,2.0,1.0,H,0,0,4,4,0,0,43,36,0,2,2,5,0,1,43,36
05/10/2022,2022,Atletico GO,Fluminense,3.14,3.2,2.34,3.0,2.0,H,0,2,2,5,0,1,29,21,1,2,2,4,0,1,29,21
05/10/2022,2022,Juventude,Corinthians,4.45,3.27,1.9,2.0,2.0,D,0,0,4,4,0,0,14,43,0,2,1,3,0,0,14,43
04/10/2022,2022,Botafogo RJ,Palmeiras,4.95,3.52,1.75,1.0,3.0,A,1,1,2,1,1,0,29,29,1,0,4,3,0,0,29,29
02/10/2022,2022,Corinthians,Cuiaba,1.67,3.42,5.92,2.0,0.0,H,2,0,5,3,0,0,64,29,0,1,3,4,0,0,64,29
01/10/2022,2022,Goias,Fortaleza,2.83,3.0,2.66,0.0,1.0,A,1,1,3,3,0,0,36,43,1,1,3,3,0,0,36,43
01/10/2022,2022,Flamengo RJ,Bragantino,1.43,4.44,7.25,4.0,1.0,H,1,1,7,3,1,0,62,15,0,1,1,2,0,0,62,15
01/10/2022,2022,Avai,Atletico GO,2.19,3.16,3.47,1.0,2.0,A,1,1,2,2,0,0,43,29,0,3,2,6,0,1,43,29
01/10/2022,2022,Athletico-PR,Juventude,1.45,4.26,7.18,2.0,0.0,H,1,0,4,3,0,0,54,38,0,3,1,10,0,2,54,38
01/10/2022,2022,Internacional,Santos,1.72,3.53,5.18,1.0,0.0,H,2,0,5,0,1,0,57,36,0,2,1,3,0,0,57,36
01/10/2022,2022,Ceara,America MG,2.01,3.25,3.92,1.0,2.0,A,1,1,2,3,0,1,21,43,0,1,2,3,0,0,21,43
01/10/2022,2022,Atletico-MG,Fluminense,1.73,3.53,5.05,2.0,0.0,H,0,2,1,3,0,0,36,29,1,2,2,5,0,1,36,29
29/09/2022,2022,Internacional,Bragantino,1.89,3.44,4.18,0.0,0.0,D,3,0,8,0,2,0,62,31,0,2,1,5,0,1,62,31
29/09/2022,2022,Goias,Botafogo RJ,3.26,3.09,2.33,0.0,1.0,A,1,0,4,3,0,0,38,46,1,1,5,4,1,0,38,46
29/09/2022,2022,Atletico-MG,Palmeiras,1.89,3.34,4.4,0.0,1.0,A,0,2,3,5,0,0,38,31,1,0,4,3,0,0,38,31
29/09/2022,2022,Cuiaba,America MG,2.48,2.97,3.13,2.0,1.0,H,1,0,2,1,0,0,23,54,1,0,2,1,0,0,23,54
28/09/2022,2022,Fortaleza,Flamengo RJ,2.99,2.96,2.59,3.0,2.0,H,2,1,5,3,1,1,23,46,1,0,3,2,0,0,23,46
28/09/2022,2022,Fluminense,Juventude,1.34,5.06,8.39,4.0,0.0,H,2,0,8,4,1,0,64,14,0,3,1,7,0,1,64,14
28/09/2022,2022,Coritiba,Ceara,2.23,3.18,3.38,1.0,0.0,H,2,1,3,1,1,0,57,14,0,0,3,3,0,0,57,14
28/09/2022,2022,Corinthians,Atletico GO,1.6,3.73,5.97,2.0,1.0,H,1,1,3,3,0,0,62,31,0,2,1,4,0,1,62,31
28/09/2022,2022,Santos,Athletico-PR,2.07,3.24,3.76,2.0,0.0,H,1,1,4,4,0,0,46,31,0,1,1,6,0,1,46,31
26/09/2022,2022,Sao Paulo,Avai,1.39,4.56,8.23,4.0,0.0,H,1,1,4,2,1,0,38,38,0,1,2,3,0,0,38,38
20/09/2022,2022,Atletico GO,Internacional,3.47,3.18,2.2,1.0,2.0,A,1,1,3,4,0,1,31,23,1,1,3,5,0,1,31,23
18/09/2022,2022,Athletico-PR,Cuiaba,1.72,3.32,5.7,2.0,2.0,D,2,0,3,1,0,0,58,33,0,2,1,3,0,0,58,33
