Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
05/03/2023,2022,St Truiden,Genk,4.0,3.4,1.91,2,2,D,1,2,1,4,0,1,31,23,1,0,6,5,0,0,31,23
04/03/2023,2022,Standard,Westerlo,2.55,3.3,2.7,2,0,H,2,1,5,3,2,1,54,15,1,0,3,2,0,0,54,15
04/03/2023,2022,Oud-Heverlee Leuven,Waregem,1.83,3.6,4.2,4,2,H,0,0,2,2,0,0,31,38,1,1,4,7,0,1,31,38
04/03/2023,2022,Cercle Brugge,Seraing,1.4,4.75,8.0,3,1,H,1,0,6,5,0,0,38,46,0,3,2,10,0,2,38,46
04/03/2023,2022,Kortrijk,Charleroi,3.1,3.4,2.25,0,1,A,1,0,7,6,0,0,23,31,0,0,4,4,0,0,23,31
03/03/2023,2022,Oostende,Club Brugge,4.5,4.0,1.67,3,0,H,0,2,1,4,0,1,31,8,1,0,4,3,0,0,31,8
26/02/2023,2022,Charleroi,St Truiden,2.05,3.5,3.6,1,0,H,2,1,5,2,1,0,38,8,1,1,4,4,1,1,38,8
26/02/2023,2022,Anderlecht,Standard,1.83,3.75,4.0,2,2,D,1,1,5,4,1,0,38,15,1,1,6,7,1,1,38,15
26/02/2023,2022,Oud-Heverlee Leuven,Antwerp,3.5,3.5,2.0,1,1,D,0,0,2,2,0,0,33,33,2,0,4,0,1,0,33,33
26/02/2023,2022,Club Brugge,Gent,2.15,3.75,3.1,2,0,H,0,0,4,4,0,0,46,46,1,1,8,6,1,0,46,46
25/02/2023,2022,Westerlo,St. Gilloise,3.5,3.6,1.95,4,2,H,1,1,7,6,1,0,46,23,1,0,3,2,0,0,46,23
25/02/2023,2022,Genk,Oostende,1.33,5.5,7.0,3,0,H,2,1,5,1,1,0,85,8,0,1,4,5,0,0,85,8
25/02/2023,2022,Eupen,Cercle Brugge,3.4,3.5,2.05,2,2,D,1,0,4,3,0,0,31,15,1,1,3,3,0,0,31,15
25/02/2023,2022,Seraing,Mechelen,3.75,3.6,1.95,0,2,A,1,1,3,3,0,0,8,23,0,3,1,6,0,2,8,23
24/02/2023,2022,Waregem,Kortrijk,2.2,3.5,3.1,3,3,D,0,1,3,4,0,0,23,23,1,2,4,4,1,0,23,23
19/02/2023,2022,St Truiden,Westerlo,2.63,3.3,2.63,0,1,A,1,1,2,4,0,1,33,25,1,0,3,2,0,0,33,25
19/02/2023,2022,Kortrijk,Anderlecht,4.0,3.6,1.85,2,2,D,2,0,6,4,0,0,25,25,2,0,4,1,1,0,25,25
19/02/2023,2022,Gent,Oud-Heverlee Leuven,1.57,4.0,5.25,2,0,H,1,1,4,4,0,0,50,25,1,2,3,4,0,0,50,25
19/02/2023,2022,Cercle Brugge,Club Brugge,3.5,3.4,2.05,2,2,D,1,0,5,4,0,0,42,42,1,0,3,2,0,0,42,42
18/02/2023,2022,St. Gilloise,Standard,1.53,4.2,6.0,2,4,A,3,0,7,0,2,0,75,17,0,1,3,6,0,1,75,17
18/02/2023,2022,Seraing,Waregem,3.1,3.4,2.2,1,1,D,1,1,3,3,0,0,8,17,1,2,3,7,0,1,8,17
18/02/2023,2022,Oostende,Charleroi,3.1,3.5,2.25,0,0,D,0,3,1,7,0,2,33,0,0,0,4,4,0,0,33,0
18/02/2023,2022,Antwerp,Eupen,1.36,5.0,8.0,2,0,H,2,0,6,1,2,0,75,17,1,1,3,4,0,1,75,17
17/02/2023,2022,Mechelen,Genk,4.2,3.6,1.8,2,2,D,2,0,7,5,0,0,46,31,2,0,7,5,0,0,46,31
12/02/2023,2022,Waregem,Oostende,1.95,3.6,3.5,1,1,D,1,1,4,3,1,0,25,17,0,2,3,7,0,1,25,17
12/02/2023,2022,Standard,Kortrijk,1.62,4.0,4.75,0,2,A,2,0,6,2,2,0,58,17,0,3,3,6,0,0,58,17
12/02/2023,2022,Anderlecht,St Truiden,1.83,3.4,4.0,3,1,H,0,2,3,6,0,1,33,17,1,0,4,2,1,0,33,17
12/02/2023,2022,Genk,Antwerp,1.91,3.5,3.75,0,1,A,3,0,8,1,2,0,92,8,1,1,3,2,1,1,92,8
11/02/2023,2022,Charleroi,Seraing,1.5,4.0,5.75,3,0,H,1,2,2,3,0,0,33,8,1,2,4,8,0,1,33,8
11/02/2023,2022,Westerlo,Gent,2.8,3.3,2.38,3,3,D,1,2,5,5,1,0,50,17,1,2,5,5,1,1,50,17
10/02/2023,2022,Eupen,Mechelen,2.55,3.4,2.5,2,1,H,0,1,2,4,0,1,25,17,0,3,0,6,0,3,25,17
10/02/2023,2022,Club Brugge,St. Gilloise,2.3,3.3,2.9,1,1,D,0,0,4,4,0,0,50,42,2,0,5,2,1,0,50,42
10/02/2023,2022,Oud-Heverlee Leuven,Cercle Brugge,2.25,3.25,2.8,0,0,D,0,1,4,5,0,0,36,27,1,1,4,4,0,0,36,27
05/02/2023,2022,St. Gilloise,Waregem,1.36,4.75,7.0,4,0,H,3,0,6,0,2,0,73,18,1,2,3,5,0,1,73,18
05/02/2023,2022,Gent,Genk,2.25,3.4,2.8,2,3,A,1,0,2,1,0,0,55,27,1,1,4,4,0,0,55,27
05/02/2023,2022,Mechelen,Charleroi,2.15,3.4,3.1,2,2,D,2,0,6,4,0,0,50,25,1,0,4,3,0,0,50,25
05/02/2023,2022,Antwerp,Club Brugge,2.5,3.3,2.63,0,0,D,2,0,6,1,2,0,82,9,1,1,4,5,0,1,82,9
04/02/2023,2022,St Truiden,Kortrijk,1.73,3.6,4.33,1,0,H,1,1,3,4,1,1,27,27,1,2,6,7,0,0,27,27
04/02/2023,2022,Seraing,Oud-Heverlee Leuven,4.0,3.6,1.85,2,1,H,0,2,1,3,0,0,0,18,1,1,3,3,0,0,0,18
04/02/2023,2022,Eupen,Westerlo,2.9,3.5,2.15,1,1,D,0,2,2,5,0,1,27,9,1,0,3,2,0,0,27,9
04/02/2023,2022,Cercle Brugge,Standard,2.05,3.5,3.1,1,1,D,1,1,4,4,0,0,45,36,0,1,2,5,0,1,45,36
03/02/2023,2022,Oostende,Anderlecht,3.4,3.6,1.91,0,2,A,0,3,2,7,0,1,36,0,2,0,3,1,0,0,36,0
01/02/2023,2022,Eupen,Genk,5.5,3.8,1.53,1,1,D,1,2,3,4,1,1,30,0,2,1,5,3,1,0,30,0
29/01/2023,2022,Genk,Seraing,1.22,5.75,10.0,4,0,H,3,0,8,2,2,0,91,9,1,2,4,9,0,1,91,9
29/01/2023,2022,Waregem,Club Brugge,4.5,3.75,1.65,1,2,A,1,0,8,6,1,0,27,18,0,2,2,6,0,2,27,18
29/01/2023,2022,Cercle Brugge,Gent,3.1,3.25,2.15,3,2,H,1,1,3,3,0,0,40,40,2,1,7,2,2,1,40,40
29/01/2023,2022,Anderlecht,Antwerp,2.63,3.25,2.45,0,0,D,0,3,3,8,0,2,36,9,1,1,6,5,1,1,36,9
28/01/2023,2022,Charleroi,St. Gilloise,3.3,3.4,2.0,0,1,A,1,2,2,7,0,1,36,9,2,0,7,4,1,0,36,9
28/01/2023,2022,Oud-Heverlee Leuven,St Truiden,2.25,3.3,2.9,1,1,D,1,1,8,4,1,0,40,20,2,0,5,2,1,0,40,20
28/01/2023,2022,Kortrijk,Oostende,2.0,3.4,3.3,2,2,D,2,1,4,6,0,1,27,18,0,3,1,11,0,2,27,18
28/01/2023,2022,Westerlo,Mechelen,1.85,3.6,3.6,2,0,H,0,2,6,8,0,0,45,18,1,2,5,4,1,2,45,18
27/01/2023,2022,Standard,Eupen,1.65,3.75,4.5,3,1,H,1,1,5,4,1,0,55,18,1,0,7,6,0,0,55,18
22/01/2023,2022,St Truiden,Gent,3.4,3.2,2.1,0,3,A,1,1,3,2,1,0,30,30,1,1,5,3,1,1,30,30
22/01/2023,2022,Club Brugge,Charleroi,1.4,4.5,6.5,2,2,D,0,0,4,4,0,0,55,36,1,1,3,5,0,1,55,36
